Symbol,Company Name,Market Cap,Sector,Price,Change 1D,Volume,PE Ratio
AAPL,Apple,"2,572.69B",Information Technology,156.81,-3.17%,"76,065,961",27.95
MSFT,Microsoft,"2,475.23B",Information Technology,329.68,-2.44%,"23,670,713",36.88
GOOGL,Alphabet,"1,892.77B",Communication Services,"2,843.66",-2.69%,"1,520,981",27.39
GOOG,Alphabet,"1,890.08B",Communication Services,"2,856.12",-2.67%,"848,760",27.51
AMZN,Amazon,"1,777.33B",Consumer Discretionary,"3,504.56",-2.12%,"2,985,941",68.58
TSLA,Tesla,"1,086.53B",Consumer Discretionary,"1,081.92",-3.05%,"11,611,390",353.34
FB,Meta Platforms,926.66B,Communication Services,333.12,-2.33%,"14,685,327",23.84
NVDA,NVIDIA,785.05B,Information Technology,315.03,-3.58%,"27,527,344",112.83
BRK.A,Berkshire Hathaway,634.69B,Financials,"427,832.75",-1.27%,"1,611",7.60
BRK.B,Berkshire Hathaway,633.90B,Financials,283.09,-1.46%,"4,437,474",7.60
TSM,Taiwan Semiconductor,607.24B,Information Technology,117.09,-3.00%,"6,632,541",29.49
JPM,JPMorgan Chase,482.71B,Financials,161.93,-3.01%,"13,608,058",10.24
V,"Visa, Inc",431.45B,Information Technology,197.65,-2.76%,"10,986,196",35.11
HD,Home Depot,424.99B,Consumer Discretionary,402.70,-2.28%,"2,837,746",28.37
JNJ,Johnson &amp; Johnson,419.11B,Health Care,159.20,-0.65%,"7,075,335",23.79
UNH,UnitedHealth,414.33B,Health Care,439.91,-2.28%,"2,480,526",27.31
WMT,Walmart,404.05B,Consumer Staples,144.90,-1.12%,"7,011,558",40.78
BABA,Alibaba Group,403.33B,Consumer Discretionary,133.35,-2.32%,"14,795,032",15.87
BAC,Bank of America ,374.50B,Financials,45.76,-3.93%,"55,103,256",13.70
PG,Procter &amp; Gamble,356.87B,Consumer Staples,147.47,-0.80%,"6,045,107",26.95
MA,Mastercard,328.53B,Information Technology,324.17,-4.66%,"6,612,035",39.87
ASML,ASML Holding,323.23B,Information Technology,782.02,-2.54%,"786,147",52.33
ADBE,Adobe,315.03B,Information Technology,662.10,-0.93%,"2,115,753",54.74
